Place and name,Year,Rating,Number of Ratings,URL
167. Klaus,2019,8.2,210K,https://imdb.com/title/tt4729430/?ref_=chttp_i_167
"168. Lock, Stock and Two Smoking Barrels",1998,8.1,631K,https://imdb.com/title/tt0120735/?ref_=chttp_i_168
169. V for Vendetta,2005,8.1,1.2M,https://imdb.com/title/tt0434409/?ref_=chttp_i_169
170. Inside Out,2015,8.1,854K,https://imdb.com/title/tt2096673/?ref_=chttp_i_170
"171. Three Billboards Outside Ebbing, Missouri",2017,8.1,575K,https://imdb.com/title/tt5027774/?ref_=chttp_i_171
172. Trainspotting,1996,8.1,744K,https://imdb.com/title/tt0117951/?ref_=chttp_i_172
173. The Bridge on the River Kwai,1957,8.1,240K,https://imdb.com/title/tt0050212/?ref_=chttp_i_173
174. Raging Bull,1980,8.1,392K,https://imdb.com/title/tt0081398/?ref_=chttp_i_174
175. Catch Me If You Can,2002,8.1,1.1M,https://imdb.com/title/tt0264464/?ref_=chttp_i_175
176. Fargo,1996,8.1,747K,https://imdb.com/title/tt0116282/?ref_=chttp_i_176
177. Warrior,2011,8.1,510K,https://imdb.com/title/tt1291584/?ref_=chttp_i_177
178. Harry Potter and the Deathly Hallows: Part 2,2011,8.1,985K,https://imdb.com/title/tt1201607/?ref_=chttp_i_178
179. Gran Torino,2008,8.1,833K,https://imdb.com/title/tt1205489/?ref_=chttp_i_179
180. Million Dollar Baby,2004,8.1,740K,https://imdb.com/title/tt0405159/?ref_=chttp_i_180
181. Spider-Man: No Way Home,2021,8.2,933K,https://imdb.com/title/tt10872600/?ref_=chttp_i_181
182. My Neighbor Totoro,1988,8.1,400K,https://imdb.com/title/tt0096283/?ref_=chttp_i_182
183. Mad Max: Fury Road,2015,8.1,1.2M,https://imdb.com/title/tt1392190/?ref_=chttp_i_183
184. Ben-Hur,1959,8.1,260K,https://imdb.com/title/tt0052618/?ref_=chttp_i_184
185. Children of Heaven,1997,8.2,84K,https://imdb.com/title/tt0118849/?ref_=chttp_i_185
186. Barry Lyndon,1975,8.1,191K,https://imdb.com/title/tt0072684/?ref_=chttp_i_186
187. 12 Years a Slave,2013,8.1,759K,https://imdb.com/title/tt2024544/?ref_=chttp_i_187
188. Before Sunrise,1995,8.1,354K,https://imdb.com/title/tt0112471/?ref_=chttp_i_188
189. Blade Runner,1982,8.1,846K,https://imdb.com/title/tt0083658/?ref_=chttp_i_189
190. The Grand Budapest Hotel,2014,8.1,916K,https://imdb.com/title/tt2278388/?ref_=chttp_i_190
191. Dead Poets Society,1989,8.1,581K,https://imdb.com/title/tt0097165/?ref_=chttp_i_191
192. Hacksaw Ridge,2016,8.1,626K,https://imdb.com/title/tt2119532/?ref_=chttp_i_192
193. Gone Girl,2014,8.1,1.1M,https://imdb.com/title/tt2267998/?ref_=chttp_i_193
194. Memories of Murder,2003,8.1,234K,https://imdb.com/title/tt0353969/?ref_=chttp_i_194
195. In the Name of the Father,1993,8.1,194K,https://imdb.com/title/tt0107207/?ref_=chttp_i_195
"196. Monsters, Inc.",2001,8.1,1M,https://imdb.com/title/tt0198781/?ref_=chttp_i_196
197. Ratatouille,2007,8.1,870K,https://imdb.com/title/tt0382932/?ref_=chttp_i_197
198. The Gold Rush,1925,8.1,122K,https://imdb.com/title/tt0015864/?ref_=chttp_i_198
199. Wild Tales,2014,8.1,225K,https://imdb.com/title/tt3011894/?ref_=chttp_i_199
200. How to Train Your Dragon,2010,8.1,832K,https://imdb.com/title/tt0892769/?ref_=chttp_i_200
201. Sherlock Jr.,1924,8.2,61K,https://imdb.com/title/tt0015324/?ref_=chttp_i_201
202. Jaws,1975,8.1,686K,https://imdb.com/title/tt0073195/?ref_=chttp_i_202
203. The Deer Hunter,1978,8.1,372K,https://imdb.com/title/tt0077416/?ref_=chttp_i_203
204. The General,1926,8.1,101K,https://imdb.com/title/tt0017925/?ref_=chttp_i_204
205. Mary and Max,2009,8.1,194K,https://imdb.com/title/tt0978762/?ref_=chttp_i_205
206. Ford v Ferrari,2019,8.1,511K,https://imdb.com/title/tt1950186/?ref_=chttp_i_206
207. The Wages of Fear,1953,8.1,69K,https://imdb.com/title/tt0046268/?ref_=chttp_i_207
208. On the Waterfront,1954,8.1,170K,https://imdb.com/title/tt0047296/?ref_=chttp_i_208
209. Mr. Smith Goes to Washington,1939,8.1,125K,https://imdb.com/title/tt0031679/?ref_=chttp_i_209
210. Maharaja,2024,8.4,63K,https://imdb.com/title/tt26548265/?ref_=chttp_i_210
211. Wild Strawberries,1957,8.1,119K,https://imdb.com/title/tt0050986/?ref_=chttp_i_211
212. The Third Man,1949,8.1,188K,https://imdb.com/title/tt0041959/?ref_=chttp_i_212
213. Logan,2017,8.1,878K,https://imdb.com/title/tt3315342/?ref_=chttp_i_213
214. Rocky,1976,8.1,652K,https://imdb.com/title/tt0075148/?ref_=chttp_i_214
215. Tokyo Story,1953,8.1,73K,https://imdb.com/title/tt0046438/?ref_=chttp_i_215
216. Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,8.6,29K,https://imdb.com/title/tt16492678/?ref_=chttp_i_216
217. The Big Lebowski,1998,8.1,883K,https://imdb.com/title/tt0118715/?ref_=chttp_i_217
218. Spotlight,2015,8.1,514K,https://imdb.com/title/tt1895587/?ref_=chttp_i_218
219. The Seventh Seal,1957,8.1,206K,https://imdb.com/title/tt0050976/?ref_=chttp_i_219
220. The Terminator,1984,8.1,955K,https://imdb.com/title/tt0088247/?ref_=chttp_i_220
221. Room,2015,8.1,464K,https://imdb.com/title/tt3170832/?ref_=chttp_i_221
222. Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,1.3M,https://imdb.com/title/tt0325980/?ref_=chttp_i_222
223. Jai Bhim,2021,8.7,224K,https://imdb.com/title/tt15097216/?ref_=chttp_i_223
224. Hotel Rwanda,2004,8.1,381K,https://imdb.com/title/tt0395169/?ref_=chttp_i_224
225. Platoon,1986,8.1,451K,https://imdb.com/title/tt0091763/?ref_=chttp_i_225
226. La haine,1995,8.1,208K,https://imdb.com/title/tt0113247/?ref_=chttp_i_226
227. Before Sunset,2004,8.1,299K,https://imdb.com/title/tt0381681/?ref_=chttp_i_227
228. The Best Years of Our Lives,1946,8.1,73K,https://imdb.com/title/tt0036868/?ref_=chttp_i_228
229. The Passion of Joan of Arc,1928,8.1,64K,https://imdb.com/title/tt0019254/?ref_=chttp_i_229
230. The Exorcist,1973,8.1,472K,https://imdb.com/title/tt0070047/?ref_=chttp_i_230
231. The Wizard of Oz,1939,8.1,446K,https://imdb.com/title/tt0032138/?ref_=chttp_i_231
232. The Incredibles,2004,8.0,844K,https://imdb.com/title/tt0317705/?ref_=chttp_i_232
233. Rush,2013,8.1,529K,https://imdb.com/title/tt1979320/?ref_=chttp_i_233
234. The Sound of Music,1965,8.1,272K,https://imdb.com/title/tt0059742/?ref_=chttp_i_234
235. Hachi: A Dog's Tale,2009,8.1,324K,https://imdb.com/title/tt1028532/?ref_=chttp_i_235
236. Stand by Me,1986,8.1,458K,https://imdb.com/title/tt0092005/?ref_=chttp_i_236
237. Network,1976,8.1,177K,https://imdb.com/title/tt0074958/?ref_=chttp_i_237
